CountryName,Latitude,Longitude,Value2019,Value2024,Rank2019,Rank2024
Indonesia,-0.7893,113.9213,278575,312000,11,11
Singapore,1.3521,103.8198,246142,265000,12,16
Canada,56.1304,-106.3468,205408,254332,13,12
Australia,-25.2744,133.7751,173218,244338,14,13
UK,55.3781,-3.4360,143676,147493,15,18
India,20.5937,78.9629,143367,176668,16,15
Germany,51.1657,10.4515,120730,157185,17,17
Mongolia,46.8625,103.8467,113599,141902,18,19
France,46.2276,2.2137,110794,164508,19,16
Uzbekistan,41.3775,64.5853,88276,59501,20,22
Myanmar,21.9162,95.9560,73722,76334,21,20
Kazakhstan,48.0196,66.9237,52966,54893,22,25
Macau,22.1987,113.5439,52462,50000,23,99
Italy,41.8719,12.5674,49344,63423,24,21
Cambodia,12.5657,104.9910,41734,40000,25,99
Malaysia,4.2105,101.9758,280000,300836,30,11
Russia,61.5240,105.3188,160000,197198,27,14
Mexico,23.6345,-102.5528,32000,57888,42,23
Netherlands,52.1326,5.2913,42000,55038,39,24
