
CountryName,Latitude,Longitude,Value2019,Value2024,Rank2019,Rank2024
Indonesia,-0.7893,113.9213,238000,312000,16,11
France,46.2276,2.2137,110000,185000,28,12
Germany,51.1657,10.4515,115000,178000,26,13
Brazil,-14.2350,-51.9253,25000,89000,45,14
Australia,-25.2744,133.7751,173000,192000,20,15
Singapore,1.3521,103.8198,246000,265000,15,16
Mexico,23.6345,-102.5528,32000,78000,42,17
UK,55.3781,-3.4360,145000,162000,22,18
Canada,56.1304,-106.3468,195000,198000,18,19
Italy,41.8719,12.5674,58000,105000,35,20
Mongolia,46.8625,103.8467,315000,298000,13,21
Kazakhstan,48.0196,66.9237,55000,92000,38,22
Spain,40.4637,-3.7492,35000,72000,40,23
Netherlands,52.1326,5.2913,42000,68000,39,24
Poland,51.9194,19.1451,21000,65000,48,25
