순위,2019년,,
,국가,입국자수(명),
1,중  국,"6,023,021",
2,일  본,"3,271,706",
3,대  만,"1,260,493",
4,미  국,"1,044,038",
5,홍  콩,"694,934",
6,태  국,"571,610",
7,베트남,"553,731",
8,필리핀,"503,867",
9,말레이시아,"408,590",
10,러시아(연방),"343,057",
11,인도네시아,"278,575",
12,싱가포르,"246,142",
13,캐나다,"205,408",
14,오스트레일리아,"173,218",
15,영  국,"143,676",
16,인  도,"143,367",
17,독  일,"120,730",
18,몽  골,"113,599",
19,프랑스,"110,794",
20,우즈베키스탄,"88,276",
21,미얀마,"73,722",
22,카자흐스탄,"52,966",
23,마카오,"52,462",
24,이탈리아,"49,344",
25,캄보디아,"41,734",
,,,
